D:\python-code\BehaviorCloningData\MyData\IMG\center_2019_04_01_14_24_39_538.jpg,D:\python-code\BehaviorCloningData\MyData\IMG\left_2019_04_01_14_24_39_538.jpg,D:\python-code\BehaviorCloningData\MyData\IMG\right_2019_04_01_14_24_39_538.jpg,0,0,0,5.313578E-05
D:\python-code\BehaviorCloningData\MyData\IMG\center_2019_04_01_14_24_39_609.jpg,D:\python-code\BehaviorCloningData\MyData\IMG\left_2019_04_01_14_24_39_609.jpg,D:\python-code\BehaviorCloningData\MyData\IMG\right_2019_04_01_14_24_39_609.jpg,0,0,0,5.358911E-05
D:\python-code\BehaviorCloningData\MyData\IMG\center_2019_04_01_14_24_39_680.jpg,D:\python-code\BehaviorCloningData\MyData\IMG\left_2019_04_01_14_24_39_680.jpg,D:\python-code\BehaviorCloningData\MyData\IMG\right_2019_04_01_14_24_39_680.jpg,0,0,0,5.249517E-05
D:\python-code\BehaviorCloningData\MyData\IMG\center_2019_04_01_14_24_39_750.jpg,D:\python-code\BehaviorCloningData\MyData\IMG\left_2019_04_01_14_24_39_750.jpg,D:\python-code\BehaviorCloningData\MyData\IMG\right_2019_04_01_14_24_39_750.jpg,0,0,0,5.507299E-05
D:\python-code\BehaviorCloningData\MyData\IMG\center_2019_04_01_14_24_39_818.jpg,D:\python-code\BehaviorCloningData\MyData\IMG\left_2019_04_01_14_24_39_818.jpg,D:\python-code\BehaviorCloningData\MyData\IMG\right_2019_04_01_14_24_39_818.jpg,0,0,0,5.312724E-05
D:\python-code\BehaviorCloningData\MyData\IMG\center_2019_04_01_14_24_39_885.jpg,D:\python-code\BehaviorCloningData\MyData\IMG\left_2019_04_01_14_24_39_885.jpg,D:\python-code\BehaviorCloningData\MyData\IMG\right_2019_04_01_14_24_39_885.jpg,0,0,0,5.284132E-05
D:\python-code\BehaviorCloningData\MyData\IMG\center_2019_04_01_14_24_39_958.jpg,D:\python-code\BehaviorCloningData\MyData\IMG\left_2019_04_01_14_24_39_958.jpg,D:\python-code\BehaviorCloningData\MyData\IMG\right_2019_04_01_14_24_39_958.jpg,0,0,0,5.416957E-05
D:\python-code\BehaviorCloningData\MyData\IMG\center_2019_04_01_14_24_40_029.jpg,D:\python-code\BehaviorCloningData\MyData\IMG\left_2019_04_01_14_24_40_029.jpg,D:\python-code\BehaviorCloningData\MyData\IMG\right_2019_04_01_14_24_40_029.jpg,-0.15,0,0,5.266388E-05
D:\python-code\BehaviorCloningData\MyData\IMG\center_2019_04_01_14_24_40_102.jpg,D:\python-code\BehaviorCloningData\MyData\IMG\left_2019_04_01_14_24_40_102.jpg,D:\python-code\BehaviorCloningData\MyData\IMG\right_2019_04_01_14_24_40_102.jpg,-0.35,0,0,4.752248E-05
D:\python-code\BehaviorCloningData\MyData\IMG\center_2019_04_01_14_24_40_175.jpg,D:\python-code\BehaviorCloningData\MyData\IMG\left_2019_04_01_14_24_40_175.jpg,D:\python-code\BehaviorCloningData\MyData\IMG\right_2019_04_01_14_24_40_175.jpg,-0.5500001,0,0,4.888499E-05
D:\python-code\BehaviorCloningData\MyData\IMG\center_2019_04_01_14_24_40_246.jpg,D:\python-code\BehaviorCloningData\MyData\IMG\left_2019_04_01_14_24_40_246.jpg,D:\python-code\BehaviorCloningData\MyData\IMG\right_2019_04_01_14_24_40_246.jpg,-0.7815135,0,0,5.023399E-05
